"females"	"males"	"total"
"South_1"	6	0	6
"South_2"	1	0	1
"South_3"	11	1	12
"South_4"	21	0	21
"South_5"	21	0	21
"South_6"	0	0	0
"South_7"	7	0	7
"South_8"	8	0	8
"South_9"	15	0	15
"South_10"	5	0	5
"South_11"	1	1	2
"South_12"	0	0	0
"South_13"	0	0	0
"South_14"	2	0	2
"South_15"	9	0	9
"South_16"	7	0	7
"South_17"	1	1	2
"South_18"	12	0	12
"South_19"	2	0	2
"South_20"	1	1	2
"South_21"	3	0	3
"South_22"	20	1	21
"South_23"	30	0	30
"South_24"	21	0	21
"South_25"	2	0	2
