Stand,Year,Round,Age,AvgCanopy
223,2019,1,10,84.89691504
224,2019,1,21,96.4698628
225,2019,1,12,82.97174058
226,2019,1,9,26.52457693
227,2019,1,10,92.03777926
228,2019,1,5,2.517830273
229,2019,1,18,99.07221851
230,2019,1,33,99.27633044
231,2019,1,15,91.54658523
232,2019,1,34,82.70095747
233,2019,1,19,96.15898464
234,2019,1,35,97.20849106
235,2019,1,14,71.70080903
236,2019,1,33,95.70622727
237,2019,1,3,0
238,2019,1,21,98.42741038
239,2019,1,33,97.62191049
240,2019,1,33,95.31274087
241,2019,2,23,97.99970311
242,2019,2,8,49.16984507
243,2019,2,4,0.253284346
244,2019,2,8,62.03878345
245,2019,2,11,71.63400876
246,2019,2,5,0
247,2019,2,10,30.55760644
248,2019,2,11,65.04676019
249,2019,2,19,98.02568099
250,2019,2,13,87.6625045
251,2019,2,12,93.29373032
252,2019,2,5,0.80499983
253,2019,2,4,0
254,2019,2,11,78.8493654
255,2019,2,36,97.64627294
256,2019,2,15,95.2738811
257,2019,2,17,98.1704149
258,2019,2,13,99.00077934
259,2019,2,9,91.31151191
260,2019,2,5,1.283000784
261,2019,2,12,96.3740815
262,2019,2,6,0.021901727
263,2019,2,3,0
264,2019,2,12,31.26530839
265,2019,2,7,39.32169895
266,2019,2,11,68.33945669
267,2019,2,9,28.11549024
268,2019,2,15,96.89712759
269,2019,2,14,94.57247829
270,2019,2,6,11.65597862
271,2019,2,10,NA
272,2019,2,15,98.1218848
273,2019,2,4,0
274,2019,2,9,22.13885542
275,2019,2,3,0.066800267
276,2019,2,7,15.36349352
277,2019,2,18,99.2280858
278,2019,2,9,13.59862582
279,2019,2,6,32.40877466
280,2019,2,2,0
281,2019,2,3,0
282,2019,2,4,0
283,2019,2,10,84.89691504
284,2019,2,21,96.4698628
285,2019,2,12,82.97174058
286,2019,2,9,26.52457693
287,2019,2,10,92.03777926
288,2019,2,5,2.517830273
289,2019,2,18,99.07221851
290,2019,2,33,99.27633044
291,2019,2,15,91.54658523
292,2019,2,34,82.70095747
293,2019,2,19,96.15898464
294,2019,2,35,97.20849106
295,2019,2,14,71.70080903
296,2019,2,33,95.70622727
297,2019,2,3,0
298,2019,2,21,98.42741038
299,2019,2,33,97.62191049
300,2019,2,33,95.31274087
301,2019,3,23,97.99970311
302,2019,3,8,49.16984507
303,2019,3,4,0.253284346
304,2019,3,8,62.03878345
305,2019,3,11,71.63400876
306,2019,3,5,0
307,2019,3,10,30.55760644
308,2019,3,11,65.04676019
309,2019,3,19,98.02568099
310,2019,3,13,87.6625045
311,2019,3,12,93.29373032
312,2019,3,5,0.80499983
313,2019,3,4,0
314,2019,3,11,78.8493654
315,2019,3,36,97.64627294
