"females"	"males"	"total"
"South_1"	0	0	0
"South_2"	1	0	1
"South_3"	0	0	0
"South_4"	2	0	2
"South_5"	2	0	2
"South_6"	0	0	0
"South_7"	0	0	0
"South_8"	0	0	0
"South_9"	1	0	1
"South_10"	2	0	2
"South_11"	4	1	5
"South_12"	2	0	2
"South_13"	2	0	2
"South_14"	4	0	4
"South_15"	2	0	2
"South_16"	4	0	4
"South_17"	0	0	0
"South_18"	6	0	6
"South_19"	3	0	3
"South_20"	2	0	2
"South_21"	2	0	2
"South_22"	5	0	5
"South_23"	13	0	13
"South_24"	4	0	4
"South_25"	4	3	7
