"x" "y"
"Midnorth_1" -2154405 2740485
"Midnorth_2" -2155035 2740395
"Midnorth_3" -2154585 2739585
"Midnorth_4" -2155215 2739945
"Midnorth_5" -2155935 2739855
"Midnorth_6" -2155935 2740305
"Midnorth_7" -2155215 2741025
"Midnorth_8" -2155395 2741205
"Midnorth_9" -2156115 2740935
"Midnorth_10" -2155125 2739315
"Midnorth_11" -2152425 2740215
"Midnorth_12" -2153055 2739405
"Midnorth_13" -2154495 2739405
"Midnorth_14" -2153505 2739225
"Midnorth_15" -2155755 2739315
"Midnorth_16" -2153865 2739495
"Midnorth_17" -2155665 2738865
"Midnorth_18" -2153505 2739495
"Midnorth_19" -2154765 2740845
"Midnorth_20" -2156295 2739315
"Midnorth_21" -2154045 2740125
"Midnorth_22" -2156205 2740665
"Midnorth_23" -2153955 2739675
"Midnorth_24" -2153595 2740125
"Midnorth_25" -2153055 2740035
