"females"	"males"	"total"
"North_1"	1	0	1
"North_2"	8	0	8
"North_3"	2	0	2
"North_4"	1	0	1
"North_5"	5	0	5
"North_6"	2	0	2
"North_7"	5	0	5
"North_8"	4	0	4
"North_9"	9	0	9
"North_10"	7	0	7
"North_11"	13	0	13
"North_12"	2	0	2
"North_13"	9	0	9
"North_14"	21	0	21
"North_15"	3	0	3
"North_16"	0	0	0
"North_17"	0	0	0
"North_18"	5	0	5
"North_19"	0	0	0
"North_20"	11	0	11
"North_21"	2	0	2
"North_22"	17	0	17
"North_23"	1	0	1
"North_24"	1	0	1
"North_25"	0	0	0
