"females"	"males"	"total"
"North_1"	69	0	69
"North_2"	22	0	22
"North_3"	56	0	56
"North_4"	3	0	3
"North_5"	128	0	128
"North_6"	28	0	28
"North_7"	96	0	96
"North_8"	40	0	40
"North_9"	54	0	54
"North_10"	67	0	67
"North_11"	32	0	32
"North_12"	32	0	32
"North_13"	6	0	6
"North_14"	46	0	46
"North_15"	0	0	0
"North_16"	3	0	3
"North_17"	33	0	33
"North_18"	115	0	115
"North_19"	1	0	1
"North_20"	2	0	2
"North_21"	66	0	66
"North_22"	12	0	12
"North_23"	9	0	9
"North_24"	0	0	0
"North_25"	1	0	1
